publish_date,is_active,stock_count,price,discounted_price,product_id,title,description,category_path,brand,link,mobile_web_link,android_deep_link,ios_deep_link,image_link,small_image_link,large_image_link,store_name,parent_id,trans_title,tags
16-03-2026 16:23,TRUE,9999,74.99,74.99,bundle-converge-1000,Fiber 1 Gbps with Klass 31,"Home and mobile on one bill, at a lower price than apart",Bundles>Convergence,D·TELCO,https://d-telco.github.io/telco/product.html?id=bundle-converge-1000,https://d-telco.github.io/telco/product.html?id=bundle-converge-1000,dtelco://product/bundle-converge-1000,https://d-telco.github.io/telco/product.html?id=bundle-converge-1000,https://d-telco.github.io/telco/assets/catalog/bundle-converge-1000-1200.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-converge-1000-400.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-converge-1000-1600.jpg,D·TELCO,,Fiber 1 Gbps with Klass 31,"bundle,convergence,demo-data"
04-03-2026 13:01,TRUE,9999,44.99,44.99,bundle-converge-300,Fiber 300 with Klass 19,"Home and mobile on one bill, at a lower price than apart",Bundles>Convergence,D·TELCO,https://d-telco.github.io/telco/product.html?id=bundle-converge-300,https://d-telco.github.io/telco/product.html?id=bundle-converge-300,dtelco://product/bundle-converge-300,https://d-telco.github.io/telco/product.html?id=bundle-converge-300,https://d-telco.github.io/telco/assets/catalog/bundle-converge-300-1200.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-converge-300-400.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-converge-300-1600.jpg,D·TELCO,,Fiber 300 with Klass 19,"bundle,convergence,demo-data"
07-04-2025 14:09,TRUE,9999,465.00,465.00,bundle-galaxy-a56-go-17-99,Galaxy A56 with GO 17.99,"Galaxy A56 with GO 17.99, with 12 months of included data on the plan",Bundles>Device plus plan,D·TELCO,https://d-telco.github.io/telco/product.html?id=bundle-galaxy-a56-go-17-99,https://d-telco.github.io/telco/product.html?id=bundle-galaxy-a56-go-17-99,dtelco://product/bundle-galaxy-a56-go-17-99,https://d-telco.github.io/telco/product.html?id=bundle-galaxy-a56-go-17-99,https://d-telco.github.io/telco/assets/catalog/bundle-galaxy-a56-go-17-99-1200.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-galaxy-a56-go-17-99-400.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-galaxy-a56-go-17-99-1600.jpg,D·TELCO,,Galaxy A56 with GO 17.99,"bundle,bundle-member:bundle-galaxy-a56-go-17-99,instalment-18m,demo-data"
08-01-2026 17:46,TRUE,9999,869.00,869.00,bundle-galaxy-s25-klass-19,Galaxy S25 with Klass 19,"Galaxy S25 with Klass 19, with 18 months of included data on the plan",Bundles>Device plus plan,D·TELCO,https://d-telco.github.io/telco/product.html?id=bundle-galaxy-s25-klass-19,https://d-telco.github.io/telco/product.html?id=bundle-galaxy-s25-klass-19,dtelco://product/bundle-galaxy-s25-klass-19,https://d-telco.github.io/telco/product.html?id=bundle-galaxy-s25-klass-19,https://d-telco.github.io/telco/assets/catalog/bundle-galaxy-s25-klass-19-1200.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-galaxy-s25-klass-19-400.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-galaxy-s25-klass-19-1600.jpg,D·TELCO,,Galaxy S25 with Klass 19,"bundle,bundle-member:bundle-galaxy-s25-klass-19,instalment-18m,demo-data"
19-05-2026 11:19,TRUE,9999,1329.00,1329.00,bundle-galaxy-s25-ultra-klass-55,Galaxy S25 Ultra with Klass 55,"Galaxy S25 Ultra with Klass 55, with 18 months of included data on the plan",Bundles>Device plus plan,D·TELCO,https://d-telco.github.io/telco/product.html?id=bundle-galaxy-s25-ultra-klass-55,https://d-telco.github.io/telco/product.html?id=bundle-galaxy-s25-ultra-klass-55,dtelco://product/bundle-galaxy-s25-ultra-klass-55,https://d-telco.github.io/telco/product.html?id=bundle-galaxy-s25-ultra-klass-55,https://d-telco.github.io/telco/assets/catalog/bundle-galaxy-s25-ultra-klass-55-1200.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-galaxy-s25-ultra-klass-55-400.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-galaxy-s25-ultra-klass-55-1600.jpg,D·TELCO,,Galaxy S25 Ultra with Klass 55,"bundle,bundle-member:bundle-galaxy-s25-ultra-klass-55,instalment-18m,demo-data"
16-01-2026 16:09,TRUE,9999,819.00,819.00,bundle-iphone-16-go-29-99,iPhone 16 with GO 29.99,"iPhone 16 with GO 29.99, with 12 months of included data on the plan",Bundles>Device plus plan,D·TELCO,https://d-telco.github.io/telco/product.html?id=bundle-iphone-16-go-29-99,https://d-telco.github.io/telco/product.html?id=bundle-iphone-16-go-29-99,dtelco://product/bundle-iphone-16-go-29-99,https://d-telco.github.io/telco/product.html?id=bundle-iphone-16-go-29-99,https://d-telco.github.io/telco/assets/catalog/bundle-iphone-16-go-29-99-1200.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-iphone-16-go-29-99-400.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-iphone-16-go-29-99-1600.jpg,D·TELCO,,iPhone 16 with GO 29.99,"bundle,bundle-member:bundle-iphone-16-go-29-99,instalment-18m,demo-data"
19-05-2025 13:32,TRUE,9999,615.00,615.00,bundle-iphone-16e-go-17-99,iPhone 16e with GO 17.99,"iPhone 16e with GO 17.99, with 12 months of included data on the plan",Bundles>Device plus plan,D·TELCO,https://d-telco.github.io/telco/product.html?id=bundle-iphone-16e-go-17-99,https://d-telco.github.io/telco/product.html?id=bundle-iphone-16e-go-17-99,dtelco://product/bundle-iphone-16e-go-17-99,https://d-telco.github.io/telco/product.html?id=bundle-iphone-16e-go-17-99,https://d-telco.github.io/telco/assets/catalog/bundle-iphone-16e-go-17-99-1200.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-iphone-16e-go-17-99-400.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-iphone-16e-go-17-99-1600.jpg,D·TELCO,,iPhone 16e with GO 17.99,"bundle,bundle-member:bundle-iphone-16e-go-17-99,instalment-18m,demo-data"
16-06-2026 10:27,TRUE,9999,969.00,969.00,bundle-iphone-17-klass-19,iPhone 17 with Klass 19,"iPhone 17 with Klass 19, with 18 months of included data on the plan",Bundles>Device plus plan,D·TELCO,https://d-telco.github.io/telco/product.html?id=bundle-iphone-17-klass-19,https://d-telco.github.io/telco/product.html?id=bundle-iphone-17-klass-19,dtelco://product/bundle-iphone-17-klass-19,https://d-telco.github.io/telco/product.html?id=bundle-iphone-17-klass-19,https://d-telco.github.io/telco/assets/catalog/bundle-iphone-17-klass-19-1200.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-iphone-17-klass-19-400.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-iphone-17-klass-19-1600.jpg,D·TELCO,,iPhone 17 with Klass 19,"bundle,bundle-member:bundle-iphone-17-klass-19,instalment-18m,demo-data"
13-06-2025 11:41,TRUE,9999,1279.00,1279.00,bundle-iphone-17-pro-klass-31,iPhone 17 Pro with Klass 31,"iPhone 17 Pro with Klass 31, with 18 months of included data on the plan",Bundles>Device plus plan,D·TELCO,https://d-telco.github.io/telco/product.html?id=bundle-iphone-17-pro-klass-31,https://d-telco.github.io/telco/product.html?id=bundle-iphone-17-pro-klass-31,dtelco://product/bundle-iphone-17-pro-klass-31,https://d-telco.github.io/telco/product.html?id=bundle-iphone-17-pro-klass-31,https://d-telco.github.io/telco/assets/catalog/bundle-iphone-17-pro-klass-31-1200.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-iphone-17-pro-klass-31-400.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-iphone-17-pro-klass-31-1600.jpg,D·TELCO,,iPhone 17 Pro with Klass 31,"bundle,bundle-member:bundle-iphone-17-pro-klass-31,instalment-18m,demo-data"
07-03-2026 10:00,TRUE,9999,819.00,819.00,bundle-pixel-10-go-29-99,Pixel 10 with GO 29.99,"Pixel 10 with GO 29.99, with 12 months of included data on the plan",Bundles>Device plus plan,D·TELCO,https://d-telco.github.io/telco/product.html?id=bundle-pixel-10-go-29-99,https://d-telco.github.io/telco/product.html?id=bundle-pixel-10-go-29-99,dtelco://product/bundle-pixel-10-go-29-99,https://d-telco.github.io/telco/product.html?id=bundle-pixel-10-go-29-99,https://d-telco.github.io/telco/assets/catalog/bundle-pixel-10-go-29-99-1200.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-pixel-10-go-29-99-400.jpg,https://d-telco.github.io/telco/assets/catalog/bundle-pixel-10-go-29-99-1600.jpg,D·TELCO,,Pixel 10 with GO 29.99,"bundle,bundle-member:bundle-pixel-10-go-29-99,instalment-18m,demo-data"
