stock_count,price,discounted_price,product_variant_id,product_id,title,image_link,small_image_link,large_image_link,size,color,gender,age_interval,store_name
15,149.00,149.00,acc-buds-airpods-4-white,acc-buds-airpods-4,AirPods 4 White,https://d-telco.github.io/telco/assets/catalog/acc-buds-airpods-4-white-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-airpods-4-white-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-airpods-4-white-1600.jpg,One size,White,unisex,,D·TELCO Shop
0,249.00,249.00,acc-buds-airpods-pro-3-white,acc-buds-airpods-pro-3,AirPods Pro 3 White,https://d-telco.github.io/telco/assets/catalog/acc-buds-airpods-pro-3-white-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-airpods-pro-3-white-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-airpods-pro-3-white-1600.jpg,One size,White,unisex,,D·TELCO Shop
34,219.00,219.00,acc-buds-galaxy-3-pro-silver,acc-buds-galaxy-3-pro,Galaxy Buds3 Pro Silver,https://d-telco.github.io/telco/assets/catalog/acc-buds-galaxy-3-pro-silver-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-galaxy-3-pro-silver-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-galaxy-3-pro-silver-1600.jpg,One size,Silver,unisex,,D·TELCO Shop
46,219.00,219.00,acc-buds-galaxy-3-pro-white,acc-buds-galaxy-3-pro,Galaxy Buds3 Pro White,https://d-telco.github.io/telco/assets/catalog/acc-buds-galaxy-3-pro-white-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-galaxy-3-pro-white-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-galaxy-3-pro-white-1600.jpg,One size,White,unisex,,D·TELCO Shop
2,99.00,99.00,acc-buds-honor-earbuds-black,acc-buds-honor-earbuds,Honor Earbuds Open Black,https://d-telco.github.io/telco/assets/catalog/acc-buds-honor-earbuds-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-honor-earbuds-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-honor-earbuds-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
3,99.00,99.00,acc-buds-honor-earbuds-grey,acc-buds-honor-earbuds,Honor Earbuds Open Grey,https://d-telco.github.io/telco/assets/catalog/acc-buds-honor-earbuds-grey-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-honor-earbuds-grey-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-honor-earbuds-grey-1600.jpg,One size,Grey,unisex,,D·TELCO Shop
20,199.00,199.00,acc-buds-pixel-pro-2-hazel,acc-buds-pixel-pro-2,Pixel Buds Pro 2 Hazel,https://d-telco.github.io/telco/assets/catalog/acc-buds-pixel-pro-2-hazel-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-pixel-pro-2-hazel-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-pixel-pro-2-hazel-1600.jpg,One size,Hazel,unisex,,D·TELCO Shop
47,199.00,199.00,acc-buds-pixel-pro-2-porcelain,acc-buds-pixel-pro-2,Pixel Buds Pro 2 Porcelain,https://d-telco.github.io/telco/assets/catalog/acc-buds-pixel-pro-2-porcelain-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-pixel-pro-2-porcelain-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-pixel-pro-2-porcelain-1600.jpg,One size,Porcelain,unisex,,D·TELCO Shop
50,39.00,39.00,acc-buds-redmi-6-black,acc-buds-redmi-6,Redmi Buds 6 Black,https://d-telco.github.io/telco/assets/catalog/acc-buds-redmi-6-black-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-redmi-6-black-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-redmi-6-black-1600.jpg,One size,Black,unisex,,D·TELCO Shop
44,39.00,39.00,acc-buds-redmi-6-white,acc-buds-redmi-6,Redmi Buds 6 White,https://d-telco.github.io/telco/assets/catalog/acc-buds-redmi-6-white-1200.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-redmi-6-white-400.jpg,https://d-telco.github.io/telco/assets/catalog/acc-buds-redmi-6-white-1600.jpg,One size,White,unisex,,D·TELCO Shop
